Time coordinates[0] coordinates[1] coordinates[2] velocity_probe[0] velocity_probe[1] velocity_probe[2]
26820.400000 2280.000000 1000.000000 30.000000 7.175771 0.704600 -0.323733 
26820.400000 2280.000000 1000.000000 150.000000 8.726885 -0.008351 0.156258 
26820.400000 2280.000000 1000.000000 270.000000 9.833678 -1.185517 -0.031359 
26820.800000 2280.000000 1000.000000 30.000000 7.137446 0.794827 -0.331605 
26820.800000 2280.000000 1000.000000 150.000000 8.773225 -0.180947 0.155560 
26820.800000 2280.000000 1000.000000 270.000000 9.811406 -1.156160 -0.037299 
26821.200000 2280.000000 1000.000000 30.000000 7.081351 0.893334 -0.327230 
26821.200000 2280.000000 1000.000000 150.000000 8.810520 -0.308483 0.134995 
26821.200000 2280.000000 1000.000000 270.000000 9.778575 -1.122920 -0.031450 
26821.600000 2280.000000 1000.000000 30.000000 7.011078 0.989576 -0.311314 
26821.600000 2280.000000 1000.000000 150.000000 8.844551 -0.369194 0.105562 
26821.600000 2280.000000 1000.000000 270.000000 9.739932 -1.090138 -0.010355 
26822.000000 2280.000000 1000.000000 30.000000 6.932582 1.072869 -0.286498 
26822.000000 2280.000000 1000.000000 150.000000 8.887677 -0.364066 0.081505 
26822.000000 2280.000000 1000.000000 270.000000 9.701542 -1.061490 0.023181 
26822.400000 2280.000000 1000.000000 30.000000 6.853113 1.134083 -0.255965 
26822.400000 2280.000000 1000.000000 150.000000 8.946355 -0.316472 0.070674 
26822.400000 2280.000000 1000.000000 270.000000 9.668927 -1.038958 0.060388 
26822.800000 2280.000000 1000.000000 30.000000 6.780059 1.168121 -0.222713 
26822.800000 2280.000000 1000.000000 150.000000 9.015918 -0.253529 0.071295 
26822.800000 2280.000000 1000.000000 270.000000 9.645904 -1.023211 0.089960 
26823.200000 2280.000000 1000.000000 30.000000 6.719329 1.174801 -0.188616 
26823.200000 2280.000000 1000.000000 150.000000 9.083075 -0.191213 0.076843 
26823.200000 2280.000000 1000.000000 270.000000 9.635096 -1.015007 0.102032 
26823.600000 2280.000000 1000.000000 30.000000 6.674379 1.159057 -0.154407 
26823.600000 2280.000000 1000.000000 150.000000 9.134464 -0.131100 0.080256 
26823.600000 2280.000000 1000.000000 270.000000 9.639035 -1.015966 0.092951 
26824.000000 2280.000000 1000.000000 30.000000 6.645532 1.128561 -0.119921 
26824.000000 2280.000000 1000.000000 150.000000 9.163921 -0.069384 0.077635 
26824.000000 2280.000000 1000.000000 270.000000 9.659701 -1.028036 0.067734 
26824.400000 2280.000000 1000.000000 30.000000 6.630123 1.091735 -0.084850 
26824.400000 2280.000000 1000.000000 150.000000 9.174465 -0.005398 0.068197 
26824.400000 2280.000000 1000.000000 270.000000 9.696218 -1.052138 0.038285 
26824.800000 2280.000000 1000.000000 30.000000 6.624069 1.055280 -0.049197 
26824.800000 2280.000000 1000.000000 150.000000 9.174596 0.055182 0.053896 
26824.800000 2280.000000 1000.000000 270.000000 9.742690 -1.086981 0.017487 
26825.200000 2280.000000 1000.000000 30.000000 6.623221 1.022975 -0.013892 
26825.200000 2280.000000 1000.000000 150.000000 9.171311 0.101526 0.037797 
26825.200000 2280.000000 1000.000000 270.000000 9.789826 -1.129172 0.013096 
26825.600000 2280.000000 1000.000000 30.000000 6.624147 0.995709 0.019221 
26825.600000 2280.000000 1000.000000 150.000000 9.166237 0.122694 0.022805 
26825.600000 2280.000000 1000.000000 270.000000 9.829501 -1.174311 0.024117 
26826.000000 2280.000000 1000.000000 30.000000 6.624518 0.971747 0.047148 
26826.000000 2280.000000 1000.000000 150.000000 9.157236 0.114017 0.011141 
26826.000000 2280.000000 1000.000000 270.000000 9.858553 -1.218147 0.043212 
26826.400000 2280.000000 1000.000000 30.000000 6.622822 0.948146 0.066540 
26826.400000 2280.000000 1000.000000 150.000000 9.142147 0.080378 0.003931 
26826.400000 2280.000000 1000.000000 270.000000 9.878574 -1.257109 0.062429 
26826.800000 2280.000000 1000.000000 30.000000 6.617968 0.922065 0.075570 
26826.800000 2280.000000 1000.000000 150.000000 9.121985 0.034062 0.000766 
26826.800000 2280.000000 1000.000000 270.000000 9.893032 -1.288912 0.076783 
26827.200000 2280.000000 1000.000000 30.000000 6.609188 0.891856 0.074936 
26827.200000 2280.000000 1000.000000 150.000000 9.102490 -0.011743 -0.000468 
26827.200000 2280.000000 1000.000000 270.000000 9.904292 -1.313329 0.085074 
26827.600000 2280.000000 1000.000000 30.000000 6.595840 0.857291 0.066968 
26827.600000 2280.000000 1000.000000 150.000000 9.092542 -0.049008 -0.003181 
26827.600000 2280.000000 1000.000000 270.000000 9.912608 -1.331822 0.088614 
26828.000000 2280.000000 1000.000000 30.000000 6.577453 0.819473 0.055043 
26828.000000 2280.000000 1000.000000 150.000000 9.101224 -0.077787 -0.011894 
26828.000000 2280.000000 1000.000000 270.000000 9.916954 -1.346302 0.089154 
26828.400000 2280.000000 1000.000000 30.000000 6.553662 0.780454 0.042197 
26828.400000 2280.000000 1000.000000 150.000000 9.133105 -0.103007 -0.029477 
26828.400000 2280.000000 1000.000000 270.000000 9.916394 -1.358296 0.087785 
26828.800000 2280.000000 1000.000000 30.000000 6.524574 0.742366 0.031021 
26828.800000 2280.000000 1000.000000 150.000000 9.185481 -0.129554 -0.054601 
26828.800000 2280.000000 1000.000000 270.000000 9.910814 -1.368797 0.084976 
26829.200000 2280.000000 1000.000000 30.000000 6.490765 0.706987 0.023903 
26829.200000 2280.000000 1000.000000 150.000000 9.247337 -0.158234 -0.081288 
26829.200000 2280.000000 1000.000000 270.000000 9.900981 -1.378000 0.080901 
